unique_id,entity_prop,sentence_prop
y2km9z_jeanie_buss,0.5,0.3333333333333333
y3y7ph_jeanie_buss,1.0,0.5
y519c5_jeanie_buss,1.0,0.5
y52v0a_jeanie_buss,1.0,0.16666666666666666
y61q6w_jeanie_buss,0.5,0.3333333333333333
y8m04i_jeanie_buss,0.3333333333333333,0.125
y8mmfl_jeanie_buss,1.0,0.3333333333333333
y9kqpj_jeanie_buss,0.2,0.058823529411764705
y9n4ri_jeanie_buss,0.5,0.19047619047619047
y9vbuv_jeanie_buss,0.5,0.5
y9zmhi_jeanie_buss,0.5,0.5
yalbeb_jeanie_buss,1.0,0.5
yat9su_jeanie_buss,0.5,0.5
ybw70h_jeanie_buss,0.21428571428571427,0.1111111111111111
ydgmga_jeanie_buss,0.5,0.3333333333333333
yeeetp_jeanie_buss,1.0,0.125
yegtjy_jeanie_buss,1.0,0.2222222222222222
yeimw0_jeanie_buss,0.1111111111111111,0.1111111111111111
yeixw1_jeanie_buss,0.3333333333333333,0.5
yewclr_jeanie_buss,0.09523809523809523,0.09090909090909091
yfwlfz_jeanie_buss,0.6666666666666666,0.11764705882352941
yg82ej_jeanie_buss,0.6,0.25
yg8d6l_jeanie_buss,0.5,0.16666666666666666
yg8zs5_jeanie_buss,1.0,0.5
yg910v_jeanie_buss,1.0,0.5
yg9rbb_jeanie_buss,0.25,0.14814814814814814
yghum7_jeanie_buss,0.6666666666666666,0.15384615384615385
ygu5bg_jeanie_buss,0.75,0.42857142857142855
ygu5vs_jeanie_buss,0.75,0.42857142857142855
yhfyc3_jeanie_buss,0.1111111111111111,0.1
yhynup_jeanie_buss,0.5,0.25
ylk10v_jeanie_buss,0.3333333333333333,0.06666666666666667
yo8vdq_jeanie_buss,0.25925925925925924,0.2
yocbbr_jeanie_buss,0.021739130434782608,0.009900990099009901
yotgt7_jeanie_buss,1.0,0.11627906976744186
ypud07_jeanie_buss,0.4,0.2857142857142857
ypy5yf_jeanie_buss,1.0,0.2
yq89xt_jeanie_buss,0.5,0.5
yqr86t_jeanie_buss,0.5,0.5
yqxje5_jeanie_buss,0.5,0.25
yr7tog_jeanie_buss,0.2631578947368421,0.5
yr8w8p_jeanie_buss,1.0,0.3333333333333333
yrgxt2_jeanie_buss,0.7916666666666666,0.5416666666666666
yri9ea_jeanie_buss,0.25,0.14285714285714285
yrk8go_jeanie_buss,0.6666666666666666,0.36363636363636365
yrkde3_jeanie_buss,1.0,0.5714285714285714
yro6ba_jeanie_buss,0.18181818181818182,0.03571428571428571
yrrm5j_jeanie_buss,0.3333333333333333,0.2
yry6e0_jeanie_buss,0.2222222222222222,0.1
ysg9vt_jeanie_buss,1.0,0.25
ysj5is_jeanie_buss,0.08,0.07142857142857142
ysy6zs_jeanie_buss,0.2727272727272727,0.375
yt4yrj_jeanie_buss,1.0,0.35294117647058826
ytcq1k_jeanie_buss,0.4,0.16666666666666666
ytd28b_jeanie_buss,0.45454545454545453,0.15789473684210525
ytijz3_jeanie_buss,0.006024096385542169,0.006472491909385114
ytinoz_jeanie_buss,0.2857142857142857,0.22727272727272727
ytjxw1_jeanie_buss,0.6,0.5
yto1a6_jeanie_buss,0.4444444444444444,0.046875
yu2u3r_jeanie_buss,0.14285714285714285,0.125
yu5yw9_jeanie_buss,0.15384615384615385,0.2222222222222222
yucg84_jeanie_buss,0.022727272727272728,0.034482758620689655
yy4wyx_jeanie_buss,0.3333333333333333,0.047619047619047616
yzlg0g_jeanie_buss,0.5,0.16666666666666666
z07w1u_jeanie_buss,0.2,0.125
z0nqoo_jeanie_buss,1.0,1.0
z1cndj_jeanie_buss,1.0,0.5
z1qjob_jeanie_buss,0.05555555555555555,0.006993006993006993
z28322_jeanie_buss,1.0,0.5
