,PERSON_ID,FIRST_NAME,LAST_NAME,BIRTHDATE,SCHOOL,HEIGHT,WEIGHT,SEASON_EXP,JERSEY,POSITION,DRAFT_YEAR,DRAFT_ROUND,DRAFT_NUMBER
0,2544,LeBron,James,1984-12-30T00:00:00,St. Vincent-St. Mary HS (OH),6-9,250,19,6,Forward,2003,1,1
1,203076,Anthony,Davis,1993-03-11T00:00:00,Kentucky,6-10,253,10,3,Forward-Center,2012,1,1
2,1626156,D'Angelo,Russell,1996-02-23T00:00:00,Ohio State,6-4,193,7,1,Guard,2015,1,2
3,203471,Dennis,Schroder,1993-09-15T00:00:00,Braunschweig,6-1,172,9,17,Guard,2013,1,17
4,1630559,Austin,Reaves,1998-05-29T00:00:00,Oklahoma,6-5,197,1,15,Guard,Undrafted,Undrafted,Undrafted
5,201566,Russell,Westbrook,1988-11-12T00:00:00,UCLA,6-3,200,14,0,Guard,2008,1,4
6,201976,Patrick,Beverley,1988-07-12T00:00:00,Arkansas,6-2,180,10,21,Guard,2009,2,42
7,1628972,Troy,Brown Jr.,1999-07-28T00:00:00,Oregon,6-7,215,4,7,Guard-Forward,2018,1,15
8,1629020,Jarred,Vanderbilt,1999-04-03T00:00:00,Kentucky,6-8,214,4,2,Forward,2018,2,41
9,1627736,Malik,Beasley,1996-11-26T00:00:00,Florida State,6-4,187,6,5,Guard,2016,1,19
10,1629022,Lonnie,Walker IV,1998-12-14T00:00:00,Miami,6-4,204,4,4,Guard-Forward,2018,1,18
11,1629060,Rui,Hachimura,1998-02-08T00:00:00,Gonzaga,6-8,230,3,28,Forward,2019,1,9
12,1628418,Thomas,Bryant,1997-07-31T00:00:00,Indiana,6-10,248,5,13,Center-Forward,2017,2,42
13,1629117,Wenyen,Gabriel,1997-03-26T00:00:00,Kentucky,6-9,205,3,35,Forward,Undrafted,Undrafted,Undrafted
14,1629134,Kendrick,Nunn,1995-08-03T00:00:00,Oakland,6-3,190,2,20,Guard,Undrafted,Undrafted,Undrafted
15,1631108,Max,Christie,2003-02-10T00:00:00,Michigan State,6-5,190,0,10,Guard,2022,2,35
16,1629308,Juan,Toscano-Anderson,1993-04-10T00:00:00,Marquette,6-6,209,3,95,Forward,Undrafted,Undrafted,Undrafted
17,1630346,Matt,Ryan,1997-04-17T00:00:00,Tennessee-Chattanooga,6-6,215,1,37,Forward,Undrafted,Undrafted,Undrafted
18,1628964,Mo,Bamba,1998-05-12T00:00:00,Texas,7-0,231,4,12,Center,2018,1,6
19,1627745,Damian,Jones,1995-06-30T00:00:00,Vanderbilt,6-11,245,6,15,Center,2016,1,30
20,1628425,Sterling,Brown,1995-02-10T00:00:00,Southern Methodist,6-5,219,5,,Guard-Forward,2017,2,46
21,1631306,Cole,Swider,1999-05-08T00:00:00,Syracuse,6-9,220,0,20,Forward,Undrafted,Undrafted,Undrafted
22,1630590,Scotty,Pippen Jr.,2000-11-10T00:00:00,Vanderbilt,6-1,170,0,14,Guard,Undrafted,Undrafted,Undrafted
23,1628432,Davon,Reed,1995-06-11T00:00:00,Miami,6-5,206,3,,Guard,2017,2,32
