,GAME_DATE,MATCHUP,WL,W,L,W_PCT,GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TOV,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,E_TM_TOV_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,E_USG_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE
0,2022-10-18,LAL @ GSW,L,0,1,0.0,22200002,1610612747,Lakers,LAL,Los Angeles,240:00,40,94,0.426,10,40,0.25,19,25,0.76,9,39,48,23,12,4,21,18,109,-14.0,92.4,97.3,105.9,107.0,-13.6,-9.6,0.575,1.05,15.3,0.246,0.719,0.482,18.644,19.6,0.479,0.519,1.0,0.197,117.06,113.5,94.58,112,0.452
1,2022-10-20,LAL vs. LAC,L,0,2,0.0,22200016,1610612747,Lakers,LAL,Los Angeles,240:00,33,94,0.351,9,45,0.2,22,26,0.846,8,30,38,23,13,5,10,24,97,-6.0,90.3,91.5,96.6,99.0,-6.3,-7.5,0.697,2.3,16.6,0.2,0.717,0.414,9.308,9.4,0.399,0.46,1.0,0.199,107.04,105.0,87.5,106,0.458
2,2022-10-23,LAL vs. POR,L,0,3,0.0,22200037,1610612747,Lakers,LAL,Los Angeles,240:00,41,92,0.446,6,33,0.182,16,20,0.8,10,30,40,26,9,9,13,24,104,-2.0,100.2,103.0,104.0,103.9,-3.9,-1.0,0.634,2.0,18.6,0.226,0.673,0.441,12.524,12.9,0.478,0.516,1.0,0.197,102.84,101.5,84.58,101,0.496
3,2022-10-26,LAL @ DEN,L,0,4,0.0,22200064,1610612747,Lakers,LAL,Los Angeles,240:00,40,90,0.444,8,30,0.267,11,16,0.688,7,40,47,25,8,4,14,16,99,-11.0,95.2,96.1,106.5,105.8,-11.4,-9.7,0.625,1.79,18.4,0.148,0.808,0.472,13.456,13.6,0.489,0.51,1.0,0.198,103.64,103.5,86.25,103,0.423
4,2022-10-28,LAL @ MIN,L,0,5,0.0,22200076,1610612747,Lakers,LAL,Los Angeles,240:00,37,89,0.416,9,29,0.31,19,27,0.704,12,43,55,20,8,5,22,21,102,-9.0,92.0,93.6,105.2,102.8,-13.2,-9.2,0.541,0.91,14.0,0.296,0.754,0.539,19.841,20.2,0.466,0.506,1.0,0.199,108.22,108.5,90.42,109,0.44
5,2022-10-30,LAL vs. DEN,W,1,5,0.167,22200095,1610612747,Lakers,LAL,Los Angeles,240:00,46,96,0.479,13,30,0.433,16,20,0.8,13,38,51,24,5,5,8,17,121,11.0,120.0,122.2,110.1,110.0,10.0,12.2,0.522,2.67,17.4,0.308,0.719,0.523,8.929,9.1,0.547,0.577,1.0,0.199,100.36,99.5,82.92,99,0.543
6,2022-11-02,LAL vs. NOP,W,2,5,0.286,22200117,1610612747,Lakers,LAL,Los Angeles,265:00,45,98,0.459,10,36,0.278,20,23,0.87,11,45,56,30,6,8,17,17,120,3.0,104.2,103.4,102.4,101.7,1.8,1.7,0.667,1.67,19.2,0.236,0.793,0.522,15.636,15.5,0.51,0.555,1.0,0.2,103.86,104.6,87.17,116,0.51
7,2022-11-04,LAL vs. UTA,L,2,6,0.25,22200131,1610612747,Lakers,LAL,Los Angeles,240:00,40,83,0.482,11,26,0.423,25,28,0.893,9,31,40,22,6,6,11,17,116,-14.0,119.2,120.8,129.5,134.0,-10.3,-13.2,0.55,2.0,17.1,0.267,0.635,0.464,11.303,11.5,0.548,0.608,1.0,0.199,98.86,96.5,80.42,96,0.457
8,2022-11-06,LAL vs. CLE,L,2,7,0.222,22200140,1610612747,Lakers,LAL,Los Angeles,240:00,40,87,0.46,8,27,0.296,12,21,0.571,10,33,43,24,4,4,16,26,100,-14.0,96.9,99.0,108.7,112.9,-11.9,-13.9,0.6,1.41,17.5,0.226,0.714,0.461,16.466,16.8,0.506,0.52,1.0,0.194,104.04,101.0,84.17,101,0.405
9,2022-11-07,LAL @ UTA,L,2,8,0.2,22200157,1610612747,Lakers,LAL,Los Angeles,240:00,40,82,0.488,9,24,0.375,27,30,0.9,7,26,33,15,7,5,16,21,116,-23.0,111.3,111.5,126.7,133.7,-15.4,-22.1,0.375,0.94,11.9,0.209,0.644,0.432,15.355,15.4,0.543,0.609,1.0,0.2,106.94,104.0,86.67,104,0.397
10,2022-11-09,LAL @ LAC,L,2,9,0.182,22200170,1610612747,Lakers,LAL,Los Angeles,240:00,40,88,0.455,10,32,0.313,11,17,0.647,8,35,43,26,7,2,15,20,101,-13.0,97.6,100.0,112.4,111.8,-14.8,-11.8,0.65,1.63,18.9,0.24,0.814,0.505,15.462,15.8,0.511,0.529,1.0,0.199,102.46,101.5,84.58,101,0.446
11,2022-11-11,LAL vs. SAC,L,2,10,0.167,22200183,1610612747,Lakers,LAL,Los Angeles,240:00,42,88,0.477,10,25,0.4,20,26,0.769,14,27,41,22,11,5,14,22,114,-6.0,114.6,115.2,118.5,120.0,-3.9,-4.8,0.524,1.57,16.2,0.354,0.69,0.511,14.079,14.1,0.534,0.573,1.0,0.201,100.34,99.5,82.92,99,0.449
12,2022-11-13,LAL vs. BKN,W,3,10,0.231,22200198,1610612747,Lakers,LAL,Los Angeles,240:00,44,91,0.484,11,27,0.407,17,20,0.85,12,33,45,25,3,2,9,22,116,13.0,119.8,120.8,104.4,108.4,15.4,12.4,0.568,2.78,18.7,0.313,0.75,0.531,9.298,9.4,0.544,0.581,1.0,0.199,97.72,95.5,79.58,96,0.538
13,2022-11-18,LAL vs. DET,W,4,10,0.286,22200234,1610612747,Lakers,LAL,Los Angeles,240:00,43,78,0.551,7,20,0.35,35,40,0.875,7,37,44,29,2,7,16,24,128,7.0,122.4,120.8,113.0,114.2,9.4,6.6,0.674,1.81,20.6,0.211,0.76,0.523,15.296,15.1,0.596,0.669,1.0,0.199,105.84,106.0,88.33,106,0.569
14,2022-11-20,LAL vs. SAS,W,5,10,0.333,22200247,1610612747,Lakers,LAL,Los Angeles,240:00,45,85,0.529,12,34,0.353,21,24,0.875,5,49,54,29,5,2,15,10,123,31.0,116.5,118.3,86.5,88.5,30.1,29.8,0.644,1.93,20.8,0.195,0.768,0.555,14.21,14.4,0.6,0.644,1.0,0.199,105.98,104.0,86.67,104,0.684
15,2022-11-22,LAL @ PHX,L,5,11,0.313,22200259,1610612747,Lakers,LAL,Los Angeles,240:00,36,85,0.424,4,22,0.182,29,35,0.829,7,38,45,19,8,7,17,12,105,-10.0,95.1,95.5,103.4,106.5,-8.3,-11.0,0.528,1.12,13.9,0.192,0.782,0.495,15.399,15.5,0.447,0.523,1.0,0.198,110.8,109.0,90.83,110,0.478
16,2022-11-25,LAL @ SAS,W,6,11,0.353,22200282,1610612747,Lakers,LAL,Los Angeles,240:00,40,83,0.482,8,27,0.296,17,20,0.85,10,39,49,28,12,5,21,16,105,11.0,101.2,102.9,91.2,92.2,9.9,10.8,0.7,1.27,19.7,0.304,0.656,0.509,21.195,21.6,0.53,0.572,1.0,0.199,103.42,102.0,85.0,102,0.614
17,2022-11-26,LAL @ SAS,W,7,11,0.389,22200288,1610612747,Lakers,LAL,Los Angeles,240:00,47,81,0.58,17,33,0.515,32,37,0.865,3,36,39,25,4,7,17,20,143,5.0,128.5,132.4,129.2,129.0,-0.7,3.4,0.532,1.47,17.9,0.167,0.673,0.473,15.277,15.7,0.685,0.735,1.0,0.196,109.04,107.5,89.58,108,0.533
18,2022-11-28,LAL vs. IND,L,7,12,0.368,22200308,1610612747,Lakers,LAL,Los Angeles,240:00,40,93,0.43,11,31,0.355,24,31,0.774,18,39,57,23,3,7,14,16,115,-1.0,112.0,112.7,105.4,112.6,6.6,0.1,0.575,1.64,16.0,0.321,0.667,0.504,13.64,13.7,0.489,0.539,1.0,0.197,106.34,102.5,85.42,102,0.506
