,GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TOV,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,E_USG_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,MIN,Game_ID,Team_ID,GAME_DATE,MATCHUP,WL
0,0022200609,1610612743,DEN,Denver,1628432,Davon Reed,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,103.1,80.0,90.1,100.0,13.0,-20.0,0.0,0.0,0.0,0.0,0.25,0.2,0.0,0.0,1.136,0.2,0.258,104.18,112.7,93.91,5,0.438,1.9166666666666665,0022200609,1610612743,"JAN 09, 2023",DEN vs. LAL,W
1,0022200537,1610612762,UTA,Utah,1629020,Jarred Vanderbilt,3.0,4.0,0.75,0.0,0.0,0.0,0.0,1.0,0.0,2.0,6.0,8.0,6.0,2.0,0.0,1.0,1.0,6.0,-16.0,117.9,124.5,146.9,151.0,-29.0,-26.5,0.3,6.0,54.5,0.1,0.273,0.19,9.1,0.75,0.676,0.093,0.091,104.63,100.49,83.74,49,0.123,23.883333333333333,0022200537,1610612762,"DEC 30, 2022",UTA @ SAC,L
2,0022200537,1610612762,UTA,Utah,1627736,Malik Beasley,4.0,13.0,0.308,1.0,7.0,0.143,0.0,0.0,0.0,1.0,3.0,4.0,3.0,0.0,1.0,2.0,0.0,9.0,-4.0,114.6,116.3,117.9,122.0,-3.3,-5.7,0.188,1.5,16.7,0.053,0.13,0.095,11.1,0.346,0.346,0.283,0.285,105.75,103.21,86.01,49,0.05,23.016666666666666,0022200537,1610612762,"DEC 30, 2022",UTA @ SAC,L
3,0022200723,1610612743,DEN,Denver,1628432,Davon Reed,0.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,6.0,7.0,0.0,0.0,0.0,1.0,2.0,0.0,-10.0,74.4,73.7,103.8,102.7,-29.4,-29.0,0.0,0.0,0.0,0.048,0.353,0.184,16.7,0.0,0.0,0.136,0.141,111.29,112.43,93.69,38,-0.034,16.016666666666666,0022200723,1610612743,"JAN 25, 2023",DEN @ MIL,L
4,0022201179,1610612764,WAS,Washington,1629134,Kendrick Nunn,9.0,17.0,0.529,5.0,6.0,0.833,1.0,2.0,0.5,1.0,6.0,7.0,6.0,2.0,1.0,1.0,2.0,24.0,-2.0,134.8,131.4,133.2,138.0,1.5,-6.6,0.375,6.0,24.0,0.037,0.24,0.135,4.0,0.676,0.671,0.339,0.347,108.37,107.81,89.84,51,0.204,22.483333333333334,0022201179,1610612764,"APR 04, 2023",WAS vs. MIL,L
5,0022201050,1610612741,CHI,Chicago,201976,Patrick Beverley,2.0,3.0,0.667,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,4.0,2.0,1.0,2.0,6.0,4.0,13.0,132.3,130.0,108.5,108.3,23.8,21.7,0.138,2.0,44.4,0.0,0.167,0.104,22.2,0.667,0.667,0.079,0.082,91.74,92.6,77.17,60,0.048,31.1,0022201050,1610612741,"MAR 17, 2023",CHI vs. MIN,W
6,0022201056,1610612746,LAC,LA,201566,Russell Westbrook,5.0,14.0,0.357,0.0,3.0,0.0,4.0,7.0,0.571,2.0,3.0,5.0,9.0,1.0,0.0,6.0,2.0,14.0,-15.0,101.6,101.3,117.4,120.0,-15.8,-18.8,0.31,1.5,28.1,0.053,0.083,0.068,18.8,0.357,0.41,0.256,0.259,104.53,103.55,86.29,80,0.05,37.083333333333336,0022201056,1610612746,"MAR 18, 2023",LAC vs. ORL,L
7,0022200820,1610612750,MIN,Minnesota,1626156,D'Angelo Russell,4.0,7.0,0.571,2.0,4.0,0.5,0.0,0.0,0.0,1.0,1.0,2.0,3.0,1.0,0.0,1.0,0.0,10.0,-27.0,84.7,84.4,144.6,144.4,-59.9,-60.0,0.25,3.0,27.3,0.048,0.077,0.059,9.1,0.714,0.714,0.163,0.167,108.81,109.0,90.83,45,0.102,19.816666666666666,0022200820,1610612750,"FEB 07, 2023",MIN @ DEN,L
8,0022200820,1610612750,MIN,Minnesota,1630346,Matt Ryan,4.0,8.0,0.5,3.0,7.0,0.429,0.0,0.0,0.0,0.0,2.0,2.0,4.0,0.0,0.0,1.0,1.0,11.0,-4.0,135.4,132.6,133.1,135.4,2.3,-2.8,0.235,4.0,30.8,0.0,0.1,0.056,7.7,0.688,0.688,0.18,0.184,100.51,100.64,83.87,46,0.085,22.416666666666668,0022200820,1610612750,"FEB 07, 2023",MIN @ DEN,L
9,0022200820,1610612743,DEN,Denver,1628432,Davon Reed,2.0,6.0,0.333,1.0,2.0,0.5,0.0,0.0,0.0,1.0,3.0,4.0,2.0,2.0,0.0,0.0,2.0,5.0,-2.0,131.9,129.0,144.0,140.0,-12.1,-11.0,0.133,0.0,25.0,0.077,0.333,0.182,0.0,0.417,0.417,0.176,0.186,102.95,105.58,87.98,31,0.074,13.866666666666667,0022200820,1610612743,"FEB 07, 2023",DEN vs. MIN,W
